left_elbow_angle_period,right_elbow_angle_period,left_wrist_angle_period,right_wrist_angle_period,left_shoulder_angle_period,right_shoulder_angle_period,hip_angle_period,waist_angle_period,left_knee_angle_period,right_knee_angle_period,left_ankle_angle_period,right_ankle_angle_period,left_elbow_angle_power,right_elbow_angle_power,left_wrist_angle_power,right_wrist_angle_power,left_shoulder_angle_power,right_shoulder_angle_power,hip_angle_power,waist_angle_power,left_knee_angle_power,right_knee_angle_power,left_ankle_angle_power,right_ankle_angle_power
180.0,180.0,180.0,180.0,180.0,180.0,90.0,90.0,180.0,180.0,60.0,60.0,171435.5400074041,593289.7728034517,3999.6928560111096,8177.834316449466,135121.0070995121,565656.9883211891,475.60587812879845,97.13807800617053,836.825196695303,1076.2358981289976,759.5822628395376,3702.4147936901404
90.0,90.0,90.0,90.0,90.0,90.0,180.0,90.0,90.0,90.0,90.0,180.0,113917.71732111361,316268.64339793654,2742.9293112684877,21260.797237619514,105572.64518135149,277121.9534692249,303.5844597141198,228.64544375975473,1264.5794379938832,513.6600325282473,2826.180959834282,13982.251598006902
90.0,90.0,180.0,90.0,90.0,90.0,60.0,90.0,90.0,180.0,90.0,90.0,94210.13940656063,233662.81506342744,597.5572321151432,13127.305672451637,86455.09982091191,208697.44073711833,159.31426437518203,214.516833795165,1880.8817546822488,156.72634207408134,4980.683840963243,18092.025584389266
90.0,90.0,180.0,90.0,90.0,90.0,60.0,90.0,90.0,90.0,180.0,45.0,88649.48676049955,205169.341441919,1826.4858294836424,23692.99201803519,76168.8486331537,184983.35915809855,150.18468788633302,207.11226310263208,3519.548143211724,552.8817135904271,9268.028474784593,5823.707431554021
180.0,180.0,45.0,180.0,180.0,180.0,180.0,180.0,180.0,45.0,180.0,180.0,248406.24143784607,302813.0903562185,1999.033001026778,47941.50444202315,168207.55028861208,233804.4491929238,551.5310251586295,466.5590442568706,8934.307199035522,349.32759025091525,13884.591661397753,3982.90353942618
180.0,180.0,180.0,60.0,180.0,180.0,180.0,90.0,180.0,180.0,22.5,180.0,203745.3983848181,541692.5667764016,1049.4388637386724,17279.871179697417,160334.74772399827,488811.203053123,509.30490130937085,53.406953866997014,888.8699019361424,895.3219224451882,1592.4194024404474,2963.6370279160046
180.0,180.0,180.0,180.0,180.0,180.0,90.0,90.0,180.0,90.0,180.0,90.0,197876.15127141372,531609.6060361237,1790.6889000466886,8280.123018301392,164816.15759857034,683800.7335380914,471.3500028038841,53.7715843579006,2678.8851030055484,1035.3881206062663,1489.905781825102,2226.1355611066565
180.0,180.0,180.0,180.0,180.0,180.0,90.0,180.0,180.0,90.0,90.0,180.0,144449.23094567918,405632.1716096552,2480.6167499939747,21036.510480402696,103835.06271020543,366604.739226819,962.3867371412372,26.168831437842023,7935.98887109508,248.54910873061948,1840.5776080047713,11598.871203122266
90.0,90.0,90.0,36.0,90.0,90.0,90.0,90.0,180.0,90.0,45.0,90.0,49000.52606994093,114418.45191140892,11097.907987759627,1330.9059523040446,544027.9755401541,159792.4892547344,835.6069498978502,340.6770740903666,6668.710650632901,26704.099158468274,14273.571498177695,2223.224893000739
90.0,90.0,11.25,25.714285714285715,90.0,90.0,90.0,90.0,90.0,90.0,60.0,25.714285714285715,9831.801468528789,56774.16291364737,8370.380279965502,876.5253732887966,205044.00040535245,85944.47524248775,317.8921805665068,535.4117967716426,1657.8492844631276,1951.721270148915,7591.723968417842,751.8689180978284
180.0,180.0,180.0,90.0,180.0,180.0,90.0,90.0,180.0,30.0,180.0,180.0,192377.03039599367,504628.91345662205,2386.773347985515,19939.26100131919,213362.25990187874,606197.9222288796,367.1192252155744,56.97533825942666,837.7787042150808,148.50780021543204,3315.2311607025836,1318.538608820983
180.0,180.0,180.0,90.0,180.0,180.0,90.0,90.0,180.0,180.0,180.0,180.0,88278.07005147859,238826.53105374463,5243.52076760046,17207.014113431353,91469.3792762647,307681.6162106211,201.50874979986256,82.74673932539957,3467.0264456136715,254.28194075721322,1186.030412204885,7121.911871595902
174.0,174.0,174.0,174.0,174.0,174.0,174.0,174.0,87.0,87.0,17.4,43.5,318132.6571397103,250703.8306822031,5700.291790614207,8811.456653249197,165413.71122397276,123538.37006703315,261.310638813104,837.0915357459904,18673.30436600656,16246.62301365979,21357.93328074605,18730.949809590402
180.0,180.0,5.142857142857142,180.0,180.0,180.0,180.0,180.0,60.0,90.0,180.0,180.0,437368.6742295005,252703.92663234705,4550.369903545352,3594.2012388740623,336174.624446673,159827.35405094296,2710.1331528919136,77.51749260661767,169.71097811508056,2537.556339971926,3463.39410539735,10778.41074547913
180.0,90.0,180.0,90.0,90.0,90.0,180.0,60.0,180.0,180.0,30.0,90.0,210719.50717439695,92811.94101289587,5848.63116323688,5885.289928358822,177864.7370869086,80526.83899260747,230.68492503825777,69.94499702490072,515.2011683984226,10858.66343784235,3560.4033488220525,3073.243441081085
