left_elbow_angle,right_elbow_angle,left_wrist_angle,right_wrist_angle,left_shoulder_angle,right_shoulder_angle,hip_angle,waist_angle,left_knee_angle,right_knee_angle,left_ankle_angle,right_ankle_angle
160.29145128328284,161.1221544336121,171.35707780130417,172.18904915599026,142.4168439314788,137.3327855084675,172.59315237000402,1.2811969524778266,167.5286887700373,159.1499901827862,139.41188304434056,131.143449028168
164.88149430269556,160.1598646066173,179.93436714413804,176.5745570750316,144.8913984876375,136.00314271236078,171.89702968583336,1.210715082784036,166.48007869646088,160.23161540795803,143.49459907096963,126.92069229262687
173.51195544567375,163.52896238890972,171.73373500198844,179.47254337109845,150.84541991379032,139.44526158826554,171.52307394947655,1.4251250355297522,166.9002928128808,162.16773965833096,145.61069269449055,132.5646192343365
175.5321665655807,165.16976681892822,176.0818265217076,179.4215549643833,153.82890975240738,141.50202585616663,170.7502312247312,1.1120033300604097,164.91380364242798,163.317252759005,150.54533480782845,137.07442678140725
176.54840822988461,166.58430207109208,169.99134340422052,176.65864180099854,162.33287652003114,145.59618915190742,171.42057643871942,2.045237064969132,162.52457467624185,164.72060264270087,157.6718404813009,140.79125386024714
177.55516178323805,168.5594590501223,170.57281036951105,176.49427757973743,163.09501681739204,149.376026767649,171.71223691467657,1.2101539286779193,162.14259411111698,163.9518494565679,158.02433121206602,141.7451757625372
177.37594682210616,169.63652388369786,173.06824873755673,179.1891826211868,164.11612838140647,151.36990280454373,172.01353589621667,0.9873568466514939,162.15909592761335,162.71070932300077,160.73628338021885,144.39741669906314
169.86398219704586,170.8030456578553,168.72985343870886,179.29360919266966,169.1860365264634,153.45884339213717,171.90229840901293,0.5244623602564173,162.03507727485868,163.83721091483343,162.05617042475768,144.15173064918548
175.24861995183915,169.2499695381611,178.23435283083847,179.35374993442878,166.74648302476555,152.9358147345403,171.26430576215142,1.2193631427532925,162.69881767948644,166.01488894346414,159.0310387747664,142.34415332399712
174.45767477256103,170.78474058339464,175.77326257778074,179.83371392561673,168.00646125943393,154.95783805357013,170.75376157202743,0.8324960491931573,164.78109428089343,165.35554464580008,162.30883908951094,141.5997267410341
173.65171779470572,174.09262600624095,176.9316029082486,178.4170970356545,169.60030777390483,159.49821524099679,170.53923000330695,0.8876348750062864,165.3607132577924,165.1418090076132,158.05612773067006,146.5322281493786
173.1676078023915,172.50971461061056,172.676829096404,178.91819626794623,169.52385844985903,158.3734477527874,169.68806195185303,0.7899173740389731,165.1597192069892,166.16124482918624,156.34470707329373,145.9186051344416
177.29814430812218,170.5114093605479,173.46760099846094,178.75915186731046,167.33076031680807,157.56961695987917,168.4584814033752,0.6099235807266759,168.6760703901729,166.1688595669683,153.90259010408693,147.3707622547494
177.55762454790857,166.6024539355918,169.83650214651513,177.76722278270984,166.67637569387094,155.57299930418353,168.08870807180716,0.514940455821361,168.22934514624887,164.8111923801073,151.7198073854108,148.10956632954623
172.60190985480654,165.83004991188574,171.507541866211,163.3478431421653,161.29890105728268,153.1701010507321,167.26641364781767,0.46937371063657707,166.5118780029886,166.7046238855015,142.92338791531446,146.43020405869237
165.6741535884633,159.59361459678,176.86905859362625,163.16534050710612,153.91737734322737,147.7204652809082,166.80885281563334,1.9939249960580454,162.38479257347936,167.75409266970587,145.14963588134097,136.65609698693305
150.14625861681748,147.9239585040716,173.58257220701068,163.76681966886935,142.2864292622326,133.171611883916,164.32570860389467,3.905077530077783,161.97259330632951,166.2081803460214,144.074961327696,139.3318992001806
160.57325756765695,147.55919861941362,168.62612199087025,164.8590601538695,145.49492032496025,129.76627373821873,164.4805177850597,4.354917422128025,159.5209837706688,162.63621258265104,137.60246059042404,126.86879120905837
161.00235219445833,140.06356995780584,176.53889679543929,171.25053572928368,144.13981060583976,120.35466142669884,165.2459039485473,5.265665404101379,154.1990921631507,158.37859195936892,139.01179716316213,128.73271349742438
164.53612917365675,140.49362396429635,169.31405712871785,168.56403227180982,144.81001320897846,117.24152085212235,165.94754213668432,6.375022224315591,150.57681607474677,156.88100630042885,143.2176162933551,132.34224013730852
158.66819440774012,138.9600555005878,152.77430393619085,169.62784252963175,139.24622171099296,114.6003967910293,165.2161568153411,6.520653490938889,150.26064080404439,154.4595045104137,143.04038333620457,131.2924791412632
164.5083604785252,139.83579453830234,167.72314759328216,174.82066506178717,139.23023791603586,111.2526733910212,164.84478226250548,7.244024202404611,149.4703699230288,152.11113452035158,143.67911438317185,137.64568041390532
158.97168516760033,137.62780714391542,170.46447318136967,176.99479344773775,133.21155647598115,108.35044474394279,165.43773130674,7.249182872805736,150.99412851704741,149.43176364291637,138.2957469180007,130.60348978444924
150.40932547364673,135.59977405351475,154.60181126145037,173.4014381942002,124.17962677578126,108.60006262322457,165.03946394054262,7.2978921533003795,152.14267698695195,145.6521848483956,136.8649918495369,138.5385336396413
149.62901405055567,124.71659834670744,171.95245454366326,172.98614432603694,118.13854834233467,97.09805845669764,164.59248790396327,7.144390990731343,154.25791034704704,142.00907499921874,130.20714089693354,139.38763637826725
106.78994128489019,114.6740717032951,98.37977706245931,173.4855823968778,85.28065452398575,86.16787869422244,164.66255485587752,5.921070616059763,153.4300486818405,137.61469108300227,109.04753421562654,130.03894979411695
95.06363622306641,107.93088590163592,105.70620491739696,177.7657731908431,70.4200189058017,75.64528978349774,165.12844676164607,5.252524130669616,147.1964263349921,130.21843034109625,145.77743378307997,138.0162696149053
164.56868311461338,96.93168873493708,152.6036329822734,175.45194353164356,23.75273212878048,64.68581153624984,165.9404400553006,4.57127242351129,142.27778979239366,125.94198382699022,149.41131988422603,124.28502520209011
179.12884077310036,95.02733606154091,158.6936615185138,174.80428515133886,13.583247460002601,62.00327148944104,165.71923710042932,2.762439646280265,142.60566738471417,123.9319997152499,162.39510932002725,132.8408600652434
179.35686130286012,91.58033877461979,162.9199093854084,177.8920259427625,12.115632461703132,60.36014249716894,166.02127118826593,2.385150086361414,146.95274484355298,121.49137927639563,167.16596564361996,140.30759744329552
178.78045090540652,90.45780731262145,165.06067604195485,175.9413300535322,11.941759427612213,60.047151755679614,166.23011093839273,1.8607964001331905,149.97207978794404,120.21154009748979,147.86818025544704,131.8271805996165
176.9685435525186,91.57721204222213,170.99216318354294,176.96835097730772,13.882104111866074,60.85123356526412,164.94010995472797,1.3950497099296597,150.69085918814565,118.438898220298,148.16800138781488,131.68347160831485
176.9638242523737,94.21172975950557,169.8838437517562,176.3683818853987,14.10979917133389,63.654976559976156,163.20989726397852,1.1137005192997909,150.38739842349153,118.23805620027545,149.8210600422178,134.39603506987243
174.60314237183297,92.30401971324646,168.47148300747466,178.69974519296022,13.226374282184889,62.293212105623965,162.0554867446477,0.6034732358556186,149.83279228190486,118.94425331225409,155.76430186104574,134.24147584775247
172.22598125504138,93.90255365267768,166.1405476098894,177.26846020094757,13.360301482004944,67.55583001750121,161.50410942401462,0.18414765167431182,150.13142018264125,120.88880651023386,157.85696033233486,135.41005245198818
167.36393395509484,95.43444251899516,165.27555902031938,174.86468121825683,14.379525663988804,69.84498273572129,160.59497014003205,1.774702902529993,150.92888655351905,123.07731082346996,159.366284189482,134.98699536790804
171.06489783390097,102.97822018429869,166.54842696872882,173.47086991313205,17.5100111760513,81.63515364582408,162.32662446484758,0.8066070572407334,152.9660954214558,120.71178450925281,131.03127879964597,129.7315388239712
93.7479516381938,110.8151447929783,152.8974611201591,172.9961249550678,27.635399704565543,90.99057793728419,164.71383213536006,0.8257707619317071,147.20905857637368,113.1459206238382,128.13772150598513,139.5626516521675
85.4082551159867,112.87542370768955,156.86421016483763,172.2869459282212,32.363957882501,95.88609043283982,165.45580369790028,0.8497936499123554,145.88815017370874,113.83903845098688,127.44407320019893,145.3259175272211
86.58350184590586,120.74248655312381,166.85771391235093,174.18718809050776,50.190399742495366,102.6605630611733,166.47563045498566,1.1577304634543668,142.663176094526,114.40081111597567,91.74720814898946,137.4595618597748
87.77488406064421,123.89163232532539,150.5835224435567,170.77434886651744,41.65357423141049,108.62276198242913,167.75506324665253,0.3507138433036081,142.9439465252367,116.5901352621025,74.94550799038677,137.33383571618424
